bismillah
  -  45.156.31.228 (Google LLC) >> [ | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0] 
  -  45.156.31.228 (Google LLC) >> [ | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0] 
  -  40.94.105.27 (Google LLC) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36] 
  -  40.94.239.44 (Google LLC) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36] 
  -  40.94.239.30 (Google LLC) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36] 
  -  172.84.98.207 (Google LLC) >> [ | Windows 7 | Chrome | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36] 
  -  laubervilliers-659-1-21-181.w80-13.abo.wanadoo.fr (Google LLC) >> [ | Windows 10 | Chrome | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36] 
  -  45.156.31.228 (Google LLC) >> [ | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0] 
  -  km-PC (Veganet Teknolojileri ve Hizmetleri LTD STI) >> [ | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0] 
  -  km-PC (Veganet Teknolojileri ve Hizmetleri LTD STI) >> [ | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:83.0) Gecko/20100101 Firefox/83.0] 
  -  105.156.59.188 ('Domain names registrar REG.RU', Ltd) >> [ | Windows 7 | Firefox | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0] 
  -  196.92.143.121 ('Domain names registrar REG.RU', Ltd) >> [ | Windows 8.1 | Chrome | Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.67] 
